id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
405,1,3041,3102,1052,1058,1001,1027,3340,6,1,8,5,3,1,455,1,1,0,0,0,78222,66663,10994,564,0,12446,10935,1511,0,1449,1,5687,5346,3453,15,0,6532,2546,3924,61,8633,6810,0,0,110,8,2,6,614,12,1,0,8,0,0
406,1,1055,3074,1001,3071,0,0,3340,6,3,3,3,2,2,775,1,0,0,0,0,60111,1376,56991,1744,316,10332,1156,7753,1422,3254,4,9230,2581,2581,7,0,14104,4952,8094,1057,7939,7400,2,0,106,1,1,0,64,12,0,0,6,0,0
407,1,1055,3006,3153,3087,1051,0,3340,6,0,3,6,1,1,0,0,0,0,0,0,69517,844,52890,15782,303,7121,187,4949,1984,1309,3,4380,9945,2850,10,0,10464,1912,8191,360,8371,8100,1,0,76,33,7,26,265,11,0,0,5,0,0
408,1,3107,3802,3108,2055,2301,3020,3363,1,1,9,0,1,0,571,0,0,0,0,0,51205,35960,12480,2764,0,5689,4568,1121,0,1909,3,4720,9227,5382,29,0,7497,2654,4598,244,7702,7550,3,0,48,4,4,0,296,10,2,0,15,0,0
409,1,3107,2049,3158,3303,1026,3117,3341,1,1,5,0,1,0,1008,0,0,0,0,0,13383,9957,3426,0,0,3573,2718,855,0,1043,3,4083,1391,789,22,0,7223,1205,6018,0,6971,6025,0,0,5,0,0,0,62,10,1,0,7,0,0
410,1,3153,3052,0,0,3111,1419,3340,6,2,2,4,1,2,878,0,0,0,0,0,71570,17737,50634,3198,0,6457,2530,3295,632,9262,1,8023,15510,4154,9,0,18233,2637,15195,400,8518,8475,3,0,29,49,17,32,342,11,0,0,6,0,1
411,1,3086,3006,1042,0,1055,3031,3363,3,2,3,2,1,1,894,0,0,0,0,0,61201,211,57822,3168,1584,6852,134,6718,0,1697,2,2892,13824,6946,15,0,7607,921,6685,0,7968,6750,2,1,100,0,0,0,32,10,2,0,10,0,0
412,1,1029,3748,3071,1001,0,0,3340,2,4,1,0,1,0,498,0,0,0,0,0,88519,354,86026,2138,0,6798,263,6535,0,1106,1,7493,11912,6705,10,0,14719,5651,8437,630,8458,7675,4,0,121,12,0,12,73,12,1,0,7,0,0
413,1,1056,3027,3158,3157,3108,1052,3340,3,6,5,0,1,0,516,0,0,0,0,0,87136,76877,10259,0,0,13779,12496,1283,0,2460,1,7245,5944,5429,3,0,14721,6039,8626,56,8637,8335,1,1,125,1,0,1,244,12,0,0,4,0,0
414,0,1001,2031,3001,1409,0,0,3340,2,3,6,0,1,0,671,0,0,0,0,0,82321,30629,47417,4274,0,7791,3349,4255,186,3325,1,19084,245,0,7,0,17483,4945,12481,56,6719,5875,0,0,50,48,40,8,366,13,0,0,5,1,0
